name, hex
poison green,#40fd14	
baby puke green,#b6c406	
bright yellow green,#9dff00	
charcoal grey,#3c4142	
squash,#f2ab15	
cinnamon,#ac4f06	
light pea green,#c4fe82	
radioactive green,#2cfa1f	
raw sienna,#9a6200	
baby purple,#ca9bf7	
cocoa,#875f42	
light royal blue,#3a2efe	
orangeish,#fd8d49	
rust brown,#8b3103	
sand brown,#cba560	
swamp,#698339	
tealish green,#0cdc73	
burnt siena,#b75203	
camo,#7f8f4e	
dusk blue,#26538d	
fern,#63a950	
old rose,#c87f89	
pale light green,#b1fc99	
peachy pink,#ff9a8a	
rosy pink,#f6688e	
light bluish green,#76fda8	
light bright green,#53fe5c	
light neon green,#4efd54	
light seafoam,#a0febf	
tiffany blue,#7bf2da	
washed out green,#bcf5a6	
browny orange,#ca6b02	
nice blue,#107ab0	
sapphire,#2138ab	
greyish teal,#719f91	
orangey yellow,#fdb915	
parchment,#fefcaf	
straw,#fcf679	
very dark brown,#1d0200	
terracota,#cb6843	
ugly blue,#31668a	
clear blue,#247afd	
creme,#ffffb6	
foam green,#90fda9	
grey/green,#86a17d	
light gold,#fddc5c	
seafoam blue,#78d1b6	
topaz,#13bbaf	
violet pink,#fb5ffc	
wintergreen,#20f986	
yellow tan,#ffe36e	
dark fuchsia,#9d0759	
indigo blue,#3a18b1	
light yellowish green,#c2ff89	
pale magenta,#d767ad	
rich purple,#720058	
sunflower yellow,#ffda03	
green/blue,#01c08d	
leather,#ac7434	
racing green,#014600	
vivid purple,#9900fa	
dark royal blue,#02066f	
hazel,#8e7618	
muted pink,#d1768f	
booger green,#96b403	
canary,#fdff63	
cool grey,#95a3a6	
dark taupe,#7f684e	
darkish purple,#751973	
true green,#089404	
coral pink,#ff6163	
dark sage,#598556	
dark slate blue,#214761	
flat blue,#3c73a8	
mushroom,#ba9e88	
rich blue,#021bf9	
dirty purple,#734a65	
greenblue,#23c48b	
icky green,#8fae22	
light khaki,#e6f2a2	
warm blue,#4b57db	
dark hot pink,#d90166	
deep sea blue,#015482	
carmine,#9d0216	
dark yellow green,#728f02	
pale peach,#ffe5ad	
plum purple,#4e0550	
golden rod,#f9bc08	
neon red,#ff073a	
old pink,#c77986	
very pale blue,#d6fffe	
blood orange,#fe4b03	
grapefruit,#fd5956	
sand yellow,#fce166	
clay brown,#b2713d	
dark blue grey,#1f3b4d	
flat green,#699d4c	
light green blue,#56fca2	
warm pink,#fb5581	
dodger blue,#3e82fc	
gross green,#a0bf16	
ice,#d6fffa	
metallic blue,#4f738e	
pale salmon,#ffb19a	
sap green,#5c8b15	
algae,#54ac68	
bluey grey,#89a0b0	
greeny grey,#7ea07a	
highlighter green,#1bfc06	
light light blue,#cafffb	
light mint,#b6ffbb	
raw umber,#a75e09	
vivid blue,#152eff	
deep lavender,#8d5eb7	
dull teal,#5f9e8f	
light greenish blue,#63f7b4	
mud green,#606602	
pinky,#fc86aa	
red wine,#8c0034	
shit green,#758000	
tan brown,#ab7e4c	
darkblue,#030764	
rosa,#fe86a4	
lipstick,#d5174e	
pale mauve,#fed0fc	
claret,#680018	
dandelion,#fedf08	
orangered,#fe420f	
poop green,#6f7c00	
ruby,#ca0147	
dark,#1b2431	
greenish turquoise,#00fbb0	
pastel red,#db5856	
piss yellow,#ddd618	
bright cyan,#41fdfe	
dark coral,#cf524e	
algae green,#21c36f	
darkish red,#a90308	
reddy brown,#6e1005	
blush pink,#fe828c	
camouflage green,#4b6113	
lawn green,#4da409	
putty,#beae8a	
vibrant blue,#0339f8	
dark sand,#a88f59	
purple/blue,#5d21d0	
saffron,#feb209	
twilight,#4e518b	
warm brown,#964e02	
bluegrey,#85a3b2	
bubble gum pink,#ff69af	
duck egg blue,#c3fbf4	
greenish cyan,#2afeb7	
petrol,#005f6a	
royal,#0c1793	
butter,#ffff81	
dusty orange,#f0833a	
off yellow,#f1f33f	
pale olive green,#b1d27b	
orangish,#fc824a	
leaf,#71aa34	
light blue grey,#b7c9e2	
dried blood,#4b0101	
lightish purple,#a552e6	
rusty red,#af2f0d	
lavender blue,#8b88f8	
light grass green,#9af764	
light mint green,#a6fbb2	
sunflower,#ffc512	
velvet,#750851	
brick orange,#c14a09	
